No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower
110,D,Horiminori,Thrum,D-T01,3.75,14.06,5.38,28.94,10
111,D,Horiminori,Thrum,D-T01,13.23,175.03,6,36,69
112,D,Horiminori,Thrum,D-T01,7.08,50.13,9.21,84.82,58
113,D,Horiminori,Thrum,D-T01,11.36,129.05,5.96,35.52,55
114,D,Horiminori,Thrum,D-T02,8.6,73.96,13.02,169.52,NA
115,D,Horiminori,Thrum,D-T02,13.71,187.96,4.43,19.62,NA
116,D,Horiminori,Thrum,D-T02,13.69,187.42,6.09,37.09,NA
117,D,Horiminori,Thrum,D-T02,8.89,79.03,6.07,36.84,NA
118,D,Horiminori,Thrum,D-T02,5.37,28.84,9.4,88.36,NA
119,D,Horiminori,Thrum,D-T02,16.71,279.22,6.11,37.33,90
120,D,Horiminori,Thrum,D-T02,14.37,206.5,4.77,22.75,83
121,D,Horiminori,Thrum,D-T02,8.17,66.75,21.19,449.02,290
122,D,Horiminori,Thrum,D-T03,4.91,24.11,19.73,389.27,NA
123,D,Horiminori,Thrum,D-T03,2.22,4.93,3.22,10.37,NA
124,D,Horiminori,Thrum,D-T03,16.9,285.61,7.16,51.27,NA
125,D,Horiminori,Thrum,D-T03,4.74,22.47,4.19,17.56,NA
126,D,Horiminori,Thrum,D-T03,15.02,225.6,5.85,34.22,NA
127,D,Horiminori,Thrum,D-T03,5.36,28.73,4.78,22.85,21
128,D,Horiminori,Thrum,D-T03,13.26,175.83,4.31,18.58,41
129,D,Horiminori,Thrum,D-T03,18.27,333.79,3.61,13.03,46
130,F,Kitawase,Pin,F-P01,10.51,110.46,3.24,10.5,NA
131,F,Kitawase,Pin,F-P01,5.4,29.16,5.43,29.48,NA
132,F,Kitawase,Pin,F-P01,5.93,35.16,4.42,19.54,NA
133,F,Kitawase,Pin,F-P01,6.79,46.1,5,25,NA
134,F,Kitawase,Pin,F-P01,6.16,37.95,3.36,11.29,NA
135,F,Kitawase,Pin,F-P01,10.11,102.21,4.39,19.27,NA
136,F,Kitawase,Pin,F-P01,15.06,226.8,9.54,91.01,NA
137,F,Kitawase,Pin,F-P01,15.39,236.85,7.6,57.76,NA
138,F,Kitawase,Pin,F-P01,14.92,222.61,8.47,71.74,NA
139,F,Kitawase,Pin,F-P01,14.96,223.8,9.04,81.72,NA
140,F,Kitawase,Pin,F-P01,19.62,384.94,6.99,48.86,NA
141,F,Kitawase,Pin,F-P01,15.07,227.1,7.6,57.76,NA
142,F,Kitawase,Pin,F-P01,8.15,66.42,5.12,26.21,42
143,F,Kitawase,Pin,F-P01,7.75,60.06,5.3,28.09,43
144,F,Kitawase,Pin,F-P01,9.38,87.98,9.3,86.49,117
145,F,Kitawase,Pin,F-P01,8.64,74.65,8.39,70.39,106
146,F,Kitawase,Pin,F-P01,11.7,136.89,6.03,36.36,74
147,F,Kitawase,Pin,F-P01,14.14,199.94,13.75,189.06,262
148,F,Kitawase,Thrum,F-T01,7.91,62.57,5.25,27.56,NA
149,F,Kitawase,Thrum,F-T01,4.97,24.7,4.43,19.62,NA
150,F,Kitawase,Thrum,F-T01,6.82,46.51,4.14,17.14,NA
151,F,Kitawase,Thrum,F-T01,NA,NA,NA,NA,12
152,F,Kitawase,Thrum,F-T01,11.74,137.83,3.06,9.36,16
153,F,Kitawase,Thrum,F-T01,13.48,181.71,4.48,20.07,NA
154,F,Kitawase,Thrum,F-T01,8.97,80.46,5.37,28.84,NA
155,F,Kitawase,Thrum,F-T01,15.93,253.76,4.7,22.09,NA
156,F,Kitawase,Thrum,F-T01,8.96,80.28,4.24,17.98,NA
157,F,Kitawase,Thrum,F-T01,9.11,82.99,5.27,27.77,NA
158,F,Kitawase,Thrum,F-T01,12.74,162.31,5.58,31.14,NA
159,F,Kitawase,Thrum,F-T01,12.41,154.01,5.37,28.84,NA
160,F,Kitawase,Thrum,F-T01,12.11,146.65,5.59,31.25,NA
161,F,Kitawase,Thrum,F-T01,13.07,170.82,5.56,30.91,NA
162,F,Kitawase,Thrum,F-T01,14.16,200.51,9.17,84.09,NA
163,F,Kitawase,Thrum,F-T01,13.84,191.55,5.05,25.5,NA
164,F,Kitawase,Thrum,F-T01,12.36,152.77,5.94,35.28,NA
165,F,Kitawase,Thrum,F-T01,16.9,285.61,10.96,120.12,NA
166,F,Kitawase,Thrum,F-T01,7.75,60.06,3.98,15.84,23
167,F,Kitawase,Thrum,F-T01,5.07,25.7,3.74,13.99,10
168,F,Kitawase,Thrum,F-T01,9.38,87.98,5.27,27.77,33
169,F,Kitawase,Thrum,F-T01,10.66,113.64,4.41,19.45,48
170,F,Kitawase,Thrum,F-T01,11.13,123.88,6.58,43.3,56
171,F,Kitawase,Thrum,F-T01,NA,NA,NA,NA,36
172,F,Kitawase,Thrum,F-T01,9.43,88.92,7.57,57.3,74
173,F,Kitawase,Thrum,F-T01,11.43,130.64,5.86,34.34,53
174,F,Kitawase,Thrum,F-T01,12.97,168.22,5.48,30.03,63
175,F,Kitawase,Pin,F-P02,16.79,281.9,7.03,49.42,NA
176,F,Kitawase,Pin,F-P02,15.8,249.64,5.52,30.47,NA
177,F,Kitawase,Pin,F-P02,11.54,133.17,6.17,38.07,NA
178,F,Kitawase,Pin,F-P02,17.55,308,9.94,98.8,NA
179,F,Kitawase,Pin,F-P02,14.91,222.31,9.18,84.27,NA
180,F,Kitawase,Pin,F-P02,14.36,206.21,5.47,29.92,NA
181,F,Kitawase,Pin,F-P02,16.26,264.39,8.78,77.09,NA
182,F,Kitawase,Pin,F-P02,12.79,163.58,8.03,64.48,NA
183,F,Kitawase,Pin,F-P02,10.13,102.62,5.22,27.25,NA
184,F,Kitawase,Pin,F-P02,12.32,151.78,4.16,17.31,NA
185,F,Kitawase,Pin,F-P02,10.62,112.78,6.48,41.99,NA
186,F,Kitawase,Pin,F-P02,10.45,109.2,5.12,26.21,NA
187,F,Kitawase,Pin,F-P02,15.14,229.22,8.15,66.42,NA
188,F,Kitawase,Pin,F-P02,9.27,85.93,6.2,38.44,NA
189,F,Kitawase,Pin,F-P02,11.72,137.36,5.83,33.99,NA
190,F,Kitawase,Pin,F-P02,13.25,175.56,5.2,27.04,NA
191,F,Kitawase,Pin,F-P02,12.72,161.8,7.63,58.22,NA
192,F,Kitawase,Pin,F-P02,12.73,162.05,9.27,85.93,NA
193,F,Kitawase,Pin,F-P02,13.15,172.92,6.36,40.45,NA
194,F,Kitawase,Pin,F-P02,13.26,175.83,7.36,54.17,NA
195,F,Kitawase,Pin,F-P02,12.56,157.75,10.69,114.28,NA
196,F,Kitawase,Pin,F-P02,9.68,93.7,5.67,32.15,NA
197,F,Kitawase,Pin,F-P02,15.08,227.41,4.67,21.81,NA
198,F,Kitawase,Pin,F-P02,8.28,68.56,5.05,25.5,NA
199,F,Kitawase,Pin,F-P02,5.42,29.38,6.31,39.82,NA
200,F,Kitawase,Pin,F-P02,20.18,407.23,5.41,29.27,NA
201,F,Kitawase,Pin,F-P02,14.13,199.66,4.95,24.5,NA
202,F,Kitawase,Pin,F-P02,14.09,198.53,4.29,18.4,NA
203,F,Kitawase,Pin,F-P02,11.88,141.13,4.42,19.54,NA
204,F,Kitawase,Pin,F-P02,16.13,260.18,5.24,27.46,NA
205,F,Kitawase,Pin,F-P02,15.21,231.34,5.89,34.69,NA
206,F,Kitawase,Pin,F-P02,18.43,339.66,4.95,24.5,NA
207,F,Kitawase,Pin,F-P02,17.33,300.33,5.47,29.92,NA
208,F,Kitawase,Pin,F-P02,13.9,193.21,5.81,33.76,NA
209,F,Kitawase,Pin,F-P02,14.51,210.54,5.34,28.52,NA
210,F,Kitawase,Pin,F-P02,18.47,341.14,4.61,21.25,NA
211,F,Kitawase,Pin,F-P02,20.35,414.12,6.74,45.43,NA
212,F,Kitawase,Pin,F-P02,21.57,465.26,7.19,51.7,NA
213,F,Kitawase,Pin,F-P02,10.41,108.37,5.12,26.21,NA
214,F,Kitawase,Pin,F-P02,21.82,476.11,5.75,33.06,NA
215,F,Kitawase,Pin,F-P02,13.1,171.61,5.75,33.06,NA
216,F,Kitawase,Pin,F-P02,15.1,228.01,5.01,25.1,NA
217,F,Kitawase,Pin,F-P02,14.99,224.7,5.49,30.14,NA
218,F,Kitawase,Pin,F-P02,12.45,155,4.73,22.37,NA
219,F,Kitawase,Pin,F-P02,17.82,317.55,3.65,13.32,NA
220,F,Kitawase,Pin,F-P02,13.39,179.29,8.75,76.56,NA
221,F,Kitawase,Pin,F-P02,7.27,52.85,1.97,3.88,NA
222,F,Kitawase,Pin,F-P02,6.05,36.6,1.9,3.61,NA
223,F,Kitawase,Pin,F-P02,7.57,57.3,6.84,46.79,NA
224,F,Kitawase,Pin,F-P02,3.43,11.76,3.91,15.29,12
225,F,Kitawase,Pin,F-P02,8.73,76.21,5.83,33.99,48
226,F,Kitawase,Pin,F-P02,15.01,225.3,6.41,41.09,90
227,F,Kitawase,Pin,F-P02,7.19,51.7,4.74,22.47,28
228,F,Kitawase,Pin,F-P02,16.25,264.06,11.18,124.99,207
229,F,Kitawase,Pin,F-P02,14.47,209.38,10.82,117.07,229
230,F,Kitawase,Pin,F-P02,16.23,263.41,8.15,66.42,74
231,F,Kitawase,Pin,F-P02,8.74,76.39,3.53,12.46,38
232,F,Kitawase,Pin,F-P02,16.16,261.15,6.38,40.7,100
233,F,Kitawase,Pin,F-P02,7.03,49.42,6.56,43.03,36
234,F,Kitawase,Pin,F-P02,12.25,150.06,9.45,89.3,112
235,F,Kitawase,Pin,F-P02,19.83,393.23,5.87,34.46,116
236,F,Kitawase,Pin,F-P02,13.55,183.6,5.63,31.7,82
237,F,Kitawase,Pin,F-P02,13.83,191.27,8.99,80.82,100
238,F,Kitawase,Pin,F-P02,12.14,147.38,6.44,41.47,60
239,F,Kitawase,Pin,F-P02,14.47,209.38,8.64,74.65,104
240,F,Kitawase,Pin,F-P02,13.59,184.69,6.3,39.69,72
