No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower,estimate00,mixed
117,D,Horiminori,Thrum,D-T02,8.89,79.03,6.07,36.84,NA,85.22125208,85
118,D,Horiminori,Thrum,D-T02,5.37,28.84,9.4,88.36,NA,113.2238375,113
119,D,Horiminori,Thrum,D-T02,16.71,279.22,6.11,37.33,90,147.5739362,90
120,D,Horiminori,Thrum,D-T02,14.37,206.5,4.77,22.75,83,104.712863,83
121,D,Horiminori,Thrum,D-T02,8.17,66.75,21.19,449.02,290,275.2378808,290
122,D,Horiminori,Thrum,D-T03,4.91,24.11,19.73,389.27,NA,237.0730769,237
123,D,Horiminori,Thrum,D-T03,2.22,4.93,3.22,10.37,NA,-20.74756063,-21
124,D,Horiminori,Thrum,D-T03,16.9,285.61,7.16,51.27,NA,167.3929495,167
125,D,Horiminori,Thrum,D-T03,4.74,22.47,4.19,17.56,NA,17.87472508,18
126,D,Horiminori,Thrum,D-T03,15.02,225.6,5.85,34.22,NA,129.6055813,130
127,D,Horiminori,Thrum,D-T03,5.36,28.73,4.78,22.85,21,33.87617877,21
128,D,Horiminori,Thrum,D-T03,13.26,175.83,4.31,18.58,41,87.31256232,41
129,D,Horiminori,Thrum,D-T03,18.27,333.79,3.61,13.03,46,113.3836522,46
130,F,Kitawase,Pin,F-P01,10.51,110.46,3.24,10.5,NA,44.99138567,45
131,F,Kitawase,Pin,F-P01,5.4,29.16,5.43,29.48,NA,46.1775767,46
132,F,Kitawase,Pin,F-P01,5.93,35.16,4.42,19.54,NA,31.61412636,32
133,F,Kitawase,Pin,F-P01,6.79,46.1,5,25,NA,49.23534089,49
134,F,Kitawase,Pin,F-P01,6.16,37.95,3.36,11.29,NA,13.05498367,13
135,F,Kitawase,Pin,F-P01,10.11,102.21,4.39,19.27,NA,63.99835936,64
136,F,Kitawase,Pin,F-P01,15.06,226.8,9.54,91.01,NA,191.7935453,192
137,F,Kitawase,Pin,F-P01,15.39,236.85,7.6,57.76,NA,162.9588531,163
138,F,Kitawase,Pin,F-P01,14.92,222.61,8.47,71.74,NA,173.6516433,174
